ESTABELECIMENTO,MUNICIPIO,SEM_EPI,virus,positivos
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,32,VSR,2
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,33,Rinovírus,4
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,34,Adenovírus,2
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,34,Metapneumovírus,3
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,34,Rinovírus,2
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,35,Metapneumovírus,1
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,35,Rinovírus,1
PRONTO ATENDIMENTO DA CRIANCA PAC,MARINGA,35,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARIALVA,9,Metapneumovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,9,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MUNHOZ DE MELO,10,Metapneumovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,ITAMBE,15,Influenza,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARIALVA,15,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,15,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,16,Covid-19,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,16,Influenza,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,16,Influenza,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,16,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,NOVA ESPERANCA,18,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,19,Adenovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARIALVA,19,VSR,2
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,19,VSR,4
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,ASTORGA,20,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,20,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MANDAGUARI,21,Influenza,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,21,VSR,2
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,22,Adenovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,22,Influenza,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,22,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,NOVA ESPERANCA,22,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,23,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,ASTORGA,24,Metapneumovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,24,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,25,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,26,Rinovírus,2
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,26,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,FLORESTA,27,Influenza,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARIALVA,27,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,27,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,27,VSR,2
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,27,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,PAICANDU,28,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARIALVA,28,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,28,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,29,VSR,3
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MANDAGUACU,30,Covid-19,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MANDAGUACU,30,Metapneumovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,ASTORGA,32,Adenovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,SARANDI,32,VSR,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARINGA,36,Metapneumovírus,2
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARIALVA,36,Rinovírus,1
SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,MARIALVA,36,VSR,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,7,Covid-19,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,8,VSR,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,10,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,11,Covid-19,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,18,Influenza,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,22,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,23,Influenza,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,24,VSR,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,25,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,26,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,30,Influenza,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA NORTE,MARINGA,30,VSR,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,2,VSR,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,7,Influenza,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,15,Influenza,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,16,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,18,VSR,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,22,Influenza,2
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,23,Influenza,3
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,23,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,24,Rinovírus,2
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,24,VSR,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,25,VSR,2
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,28,Influenza,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,29,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,29,VSR,2
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,30,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,35,Rinovírus,1
UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL,MARINGA,36,Rinovírus,1
